poi_id,destination_id,name,category,lat,lon,avg_visit_minutes,price_level,popularity_score,description,open_hour,close_hour
POI0869,PRG,6. zastavení,landmark,50.083709,14.395716,60,1,4.0,"6. zastavení is a chapel in Czech Republic, in Prague.",8,20
POI0870,PRG,Ladislav Vertat,history,50.104635,14.392261,60,0,4.0,Ladislav Vertat is a memorial in Prague.,8,19
POI0871,PRG,Církev Ježíše Krista Svatých posledních dnů,religion,50.097558,14.408067,30,0,4.6,"Církev Ježíše Krista Svatých posledních dnů is a Christian restorationist denomination centered on the Book of Mormon, in Prague.",7,19
POI0872,PRG,Nový Smíchov,shopping,50.073153,14.402159,60,1,4.2,Nový Smíchov is a shopping mall in Prague.,6,1
POI0873,PRG,Divadlo Kampa,culture,50.084301,14.406992,90,1,4.1,"Divadlo Kampa is a theatre in Prague, Czech Republic.",9,20
POI0874,PRG,Vrtbovská zahrada,nature,50.086481,14.402558,90,0,4.2,"Vrtbovská zahrada is a Czech garden, in Prague.",10,19
POI0875,PRG,Na Slamníku,nightlife,50.103733,14.408437,120,1,4.1,"Na Slamníku is a restaurant in Czech Republic, in Prague.",11,24
POI0876,PRG,Farmářské tržiště Náplavka,food,50.0688,14.414436,60,1,4.0,A well-regarded food destination in Prague.,8,14
POI0877,PRG,Židovské muzeum,museum,50.090285,14.4211,120,1,4.3,"Židovské muzeum is a museum in Czechia, in Prague.",9,18
POI0878,PRG,7. zastavení,landmark,50.083733,14.395244,60,1,4.0,"7. zastavení is a chapel in Czech Republic, in Prague.",8,20
POI0879,PRG,František Kollman,history,50.103375,14.397651,60,0,4.0,František Kollman is a plaque in Prague.,8,19
POI0880,PRG,Smíchovská synagoga,religion,50.071739,14.403119,30,0,4.2,"Smíchovská synagoga is a former Reform synagogue in Pacific, Czech Republic, in Prague.",7,19
POI0881,PRG,Obchodní dům Petřiny,shopping,50.087753,14.345074,60,1,4.1,A popular shopping spot in Prague.,10,20
POI0882,PRG,Rokoko,culture,50.081391,14.426269,90,1,4.1,"Rokoko is a theatre in Prague, Czech Republic.",11,19
POI0883,PRG,Vratislavská zahrada,nature,50.086668,14.401999,90,0,4.1,"Vratislavská zahrada is a garden in Prague 1, Czech Republic.",0,24
POI0884,PRG,Minus,nightlife,50.134281,14.507543,120,1,4.0,A lively nightlife spot in Prague.,18,2
POI0885,PRG,Farmářské trhy Prosek,food,50.128327,14.490327,60,1,4.0,A well-regarded food destination in Prague.,8,16
POI0886,PRG,Galerie Václava Špály,museum,50.082412,14.420334,120,1,4.1,"Galerie Václava Špály is a museum in Czech Republic, in Prague.",11,19
POI0887,PRG,8. zastavení,landmark,50.08375,14.394846,60,1,4.0,"8. zastavení is a chapel in Czech Republic, in Prague.",8,20
POI0888,PRG,Antonín Dvořák,history,50.089238,14.415174,60,0,4.0,A historic site in Prague.,8,19
POI0889,PRG,Nová libeňská synagoga,religion,50.104096,14.474036,30,0,4.1,A historic place of worship in Prague.,7,19
POI0890,PRG,OC Flora,shopping,50.078777,14.461115,60,1,4.1,"OC Flora is a shopping mall with cinema in Prague, Czech Republic.",10,20
POI0891,PRG,Divadlo ABC,culture,50.080365,14.424881,90,1,4.1,"Divadlo ABC is a theatre in Prague, Czech Republic.",9,20
POI0892,PRG,Lobkovická zahrada,nature,50.086839,14.397902,90,0,4.1,"Lobkovická zahrada is a garden in Prague, Czech Republic.",0,24
POI0893,PRG,Na hradbách,nightlife,50.063611,14.422183,120,1,4.0,A lively nightlife spot in Prague.,12,24
POI0894,PRG,BioAid,food,50.079654,14.450662,60,1,4.0,A well-regarded food destination in Prague.,10,19
POI0895,PRG,Galerie Smečky,museum,50.079169,14.4273,120,0,4.0,A notable museum in Prague.,11,18
POI0896,PRG,9. zastavení,landmark,50.08377,14.394445,60,1,4.0,"9. zastavení is a chapel in Czech Republic, in Prague.",8,20
